56510,"ADA, MN",ADA,MN,NORMAN
55909,"ADAMS, MN",ADAMS,MN,MOWER
55701,"ADOLPH, MN",ADOLPH,MN,SAINT LOUIS
56110,"ADRIAN, MN",ADRIAN,MN,NOBLES
55001,"AFTON, MN",AFTON,MN,WASHINGTON
56431,"AITKIN, MN",AITKIN,MN,AITKIN
56433,"AKELEY, MN",AKELEY,MN,HUBBARD
56307,"ALBANY, MN",ALBANY,MN,STEARNS
56007,"ALBERT LEA, MN",ALBERT LEA,MN,FREEBORN
56207,"ALBERTA, MN",ALBERTA,MN,STEVENS
55301,"ALBERTVILLE, MN",ALBERTVILLE,MN,WRIGHT
55702,"ALBORN, MN",ALBORN,MN,SAINT LOUIS
56009,"ALDEN, MN",ALDEN,MN,FREEBORN
56434,"ALDRICH, MN",ALDRICH,MN,WADENA
56308,"ALEXANDRIA, MN",ALEXANDRIA,MN,DOUGLAS
55002,"ALMELUND, MN",ALMELUND,MN,CHISAGO
56111,"ALPHA, MN",ALPHA,MN,JACKSON
55910,"ALTURA, MN",ALTURA,MN,WINONA
56710,"ALVARADO, MN",ALVARADO,MN,MARSHALL
56010,"AMBOY, MN",AMBOY,MN,BLUE EARTH
55304,"ANDOVER, MN",ANDOVER,MN,ANOKA
56711,"ANGLE INLET, MN",ANGLE INLET,MN,LAKE OF THE WOODS
55703,"ANGORA, MN",ANGORA,MN,SAINT LOUIS
55302,"ANNANDALE, MN",ANNANDALE,MN,WRIGHT
55303,"ANOKA, MN",ANOKA,MN,ANOKA
56208,"APPLETON, MN",APPLETON,MN,SWIFT
56113,"ARCO, MN",ARCO,MN,LINCOLN
56713,"ARGYLE, MN",ARGYLE,MN,MARSHALL
55307,"ARLINGTON, MN",ARLINGTON,MN,SIBLEY
56309,"ASHBY, MN",ASHBY,MN,GRANT
55704,"ASKOV, MN",ASKOV,MN,PINE
56209,"ATWATER, MN",ATWATER,MN,KANDIYOHI
56511,"AUDUBON, MN",AUDUBON,MN,BECKER
55705,"AURORA, MN",AURORA,MN,SAINT LOUIS
55912,"AUSTIN, MN",AUSTIN,MN,MOWER
56114,"AVOCA, MN",AVOCA,MN,MURRAY
56310,"AVON, MN",AVON,MN,STEARNS
55706,"BABBITT, MN",BABBITT,MN,SAINT LOUIS
56435,"BACKUS, MN",BACKUS,MN,CASS
56714,"BADGER, MN",BADGER,MN,ROSEAU
56621,"BAGLEY, MN",BAGLEY,MN,CLEARWATER
56115,"BALATON, MN",BALATON,MN,LYON
56514,"BARNESVILLE, MN",BARNESVILLE,MN,CLAY
55707,"BARNUM, MN",BARNUM,MN,CARLTON
56311,"BARRETT, MN",BARRETT,MN,GRANT
56210,"BARRY, MN",BARRY,MN,BIG STONE
56515,"BATTLE LAKE, MN",BATTLE LAKE,MN,OTTER TAIL
56623,"BAUDETTE, MN",BAUDETTE,MN,LAKE OF THE WOODS
56425,"BAXTER, MN",BAXTER,MN,CROW WING
55003,"BAYPORT, MN",BAYPORT,MN,WASHINGTON
56211,"BEARDSLEY, MN",BEARDSLEY,MN,BIG STONE
55601,"BEAVER BAY, MN",BEAVER BAY,MN,LAKE
56116,"BEAVER CREEK, MN",BEAVER CREEK,MN,ROCK
55308,"BECKER, MN",BECKER,MN,SHERBURNE
56516,"BEJOU, MN",BEJOU,MN,MAHNOMEN
56312,"BELGRADE, MN",BELGRADE,MN,STEARNS
56011,"BELLE PLAINE, MN",BELLE PLAINE,MN,SCOTT
56212,"BELLINGHAM, MN",BELLINGHAM,MN,LAC QUI PARLE
56517,"BELTRAMI, MN",BELTRAMI,MN,POLK
56214,"BELVIEW, MN",BELVIEW,MN,REDWOOD
56601,"BEMIDJI, MN",BEMIDJI,MN,BELTRAMI
56619,"BEMIDJI, MN",BEMIDJI,MN,BELTRAMI
56626,"BENA, MN",BENA,MN,CASS
56436,"BENEDICT, MN",BENEDICT,MN,HUBBARD
56215,"BENSON, MN",BENSON,MN,SWIFT
56437,"BERTHA, MN",BERTHA,MN,TODD
55005,"BETHEL, MN",BETHEL,MN,ANOKA
56627,"BIG FALLS, MN",BIG FALLS,MN,KOOCHICHING
55309,"BIG LAKE, MN",BIG LAKE,MN,SHERBURNE
56117,"BIGELOW, MN",BIGELOW,MN,NOBLES
56628,"BIGFORK, MN",BIGFORK,MN,ITASCA
56118,"BINGHAM LAKE, MN",BINGHAM LAKE,MN,COTTONWOOD
56629,"BIRCHDALE, MN",BIRCHDALE,MN,KOOCHICHING
55310,"BIRD ISLAND, MN",BIRD ISLAND,MN,RENVILLE
55708,"BIWABIK, MN",BIWABIK,MN,SAINT LOUIS
56630,"BLACKDUCK, MN",BLACKDUCK,MN,BELTRAMI
56216,"BLOMKEST, MN",BLOMKEST,MN,KANDIYOHI
55917,"BLOOMING PRAIRIE, MN",BLOOMING PRAIRIE,MN,STEELE
56013,"BLUE EARTH, MN",BLUE EARTH,MN,FARIBAULT
56518,"BLUFFTON, MN",BLUFFTON,MN,OTTER TAIL
56313,"BOCK, MN",BOCK,MN,MILLE LACS
56519,"BORUP, MN",BORUP,MN,NORMAN
55709,"BOVEY, MN",BOVEY,MN,ITASCA
56314,"BOWLUS, MN",BOWLUS,MN,MORRISON
